1.380344110778295164e-01 1.000004330257619589e+00 1.276115613839822437e-02 nan
1.840458753583155971e-01 1.000004330257619589e+00 1.223743753213474110e-02 nan
2.300573346164989375e-01 1.000004330257619367e+00 1.479219907343635662e-02 nan
2.760687873225067812e-01 1.000004330257619589e+00 1.918277516078946074e-02 nan
3.220802323853411142e-01 1.000004330257619589e+00 4.721193323021070920e-02 nan
3.680916684945662598e-01 1.000004330257619145e+00 3.008151886029270528e-01 nan
4.141030942300277240e-01 1.000004330257619367e+00 8.500208107819832160e-01 nan
4.601145085007266600e-01 1.000004330257619145e+00 9.851482271364756516e-01 nan
5.061259097767893955e-01 1.000004330257619367e+00 9.832724186522886489e-01 nan
5.521372970769348187e-01 1.000004330257619145e+00 9.831574040941887249e-01 nan
5.981486687615702458e-01 1.000004330257619367e+00 9.839653561987433683e-01 nan
6.441600238494140651e-01 1.000004330257616481e+00 9.880369272903184452e-01 nan
6.901713609203096178e-01 1.000004327386427638e+00 9.876609177228533598e-01 nan
7.361826786638187015e-01 9.711978376934372603e-01 1.000000000000000000e+00 nan
7.821939758792206820e-01 7.180418310859102426e-01 9.962481975446725313e-01 nan
8.282052512560765800e-01 3.320823068931024191e-01 9.926352136585802066e-01 nan
8.742165034839464166e-01 2.490759370426550157e-01 9.841134333625823905e-01 nan
9.202277312523894359e-01 8.386344432005511662e-02 9.895982606164159812e-01 nan
9.662389333606831165e-01 5.918497976472692629e-02 9.900586955914562060e-01 nan
1.012250108388667025e+00 9.407903079451922224e-02 9.976077900681220578e-01 nan
1.058261255135617418e+00 8.800478618358345551e-02 9.906725087522214590e-01 nan
1.104272372071653407e+00 6.448628597094659132e-02 9.856317410372869015e-01 nan
1.150283458983518692e+00 4.578003572706922097e-02 9.876972381096217335e-01 nan
1.196294512585830860e+00 3.496332381310728044e-02 9.766907628885351800e-01 nan
1.242305534091675989e+00 2.959946871372052396e-02 9.936704640498784658e-01 nan
1.288316520325388348e+00 2.711749674478971389e-02 9.947377963623044161e-01 nan
1.334327470305676888e+00 2.559757634457351938e-02 9.790440966630479247e-01 nan
1.380338383051249673e+00 2.361458598411004042e-02 9.633801869229200454e-01 nan
1.426349256483626204e+00 2.023866914456083632e-02 8.312521374306769406e-01 nan
1.472360091815888339e+00 1.525949741088999077e-02 5.666809977303921553e-01 nan
1.518370884775177787e+00 9.394729799925468847e-03 3.457268580282450987e-01 nan
1.564381635477385846e+00 4.163767594841572342e-03 2.433027687243300707e-01 nan
1.610392341844028019e+00 1.226572503215773947e-03 1.932868770962950511e-01 nan
1.656403003990994938e+00 1.378055213134986865e-03 1.477986294186614258e-01 nan
1.702413619839798331e+00 3.854238431765898056e-03 1.240166843970561816e-01 nan
1.748424188409139157e+00 6.613963937042867391e-03 1.019553681873441170e-01 nan
1.794434707620526703e+00 7.578894726832454548e-03 8.486166481398148276e-02 nan
1.840445177589847159e+00 6.018866247711068124e-03 7.396533904563749873e-02 nan
1.886455595141419028e+00 3.067875365971453952e-03 6.277721121460805298e-02 nan
