2.23E-01	7.16E-01
2.39E-01	8.95E-01
2.64E-01	9.33E-01
2.82E-01	9.53E-01
3.02E-01	9.62E-01
3.22E-01	9.58E-01
3.42E-01	9.74E-01
3.62E-01	9.79E-01
3.82E-01	9.63E-01
4.02E-01	9.69E-01
4.22E-01	9.83E-01
4.43E-01	9.68E-01
4.63E-01	9.85E-01
4.83E-01	9.84E-01
5.03E-01	9.66E-01
5.23E-01	9.81E-01
5.43E-01	9.83E-01
5.63E-01	1.00E+00
5.83E-01	9.98E-01
6.03E-01	9.84E-01
6.24E-01	9.86E-01
6.44E-01	9.77E-01
6.64E-01	9.81E-01
6.84E-01	9.85E-01
7.04E-01	9.81E-01
7.24E-01	9.74E-01
7.44E-01	9.77E-01
7.64E-01	9.76E-01
7.85E-01	9.62E-01
8.05E-01	8.59E-01
8.25E-01	6.78E-01
8.45E-01	4.94E-01
8.65E-01	3.51E-01
8.85E-01	2.76E-01
9.05E-01	2.29E-01
9.25E-01	1.91E-01
9.45E-01	1.59E-01
9.66E-01	1.30E-01
9.86E-01	1.19E-01
1.01E+00	1.02E-01
1.03E+00	9.06E-02
1.05E+00	7.88E-02
1.07E+00	6.66E-02
1.09E+00	6.16E-02
1.11E+00	5.56E-02
1.13E+00	5.06E-02
1.15E+00	4.62E-02
1.17E+00	4.05E-02
1.19E+00	3.56E-02
1.21E+00	3.23E-02
1.23E+00	3.04E-02
1.25E+00	2.85E-02
1.27E+00	2.55E-02
1.29E+00	2.41E-02
1.31E+00	2.01E-02
1.33E+00	2.13E-02
1.35E+00	1.91E-02
1.37E+00	1.78E-02
1.39E+00	1.68E-02
1.41E+00	1.55E-02
1.43E+00	1.42E-02
1.45E+00	1.23E-02
1.47E+00	1.22E-02
1.49E+00	1.14E-02
1.51E+00	1.07E-02
1.53E+00	9.75E-03
1.55E+00	1.01E-02
1.57E+00	8.85E-03
1.59E+00	7.76E-03
1.61E+00	7.80E-03
1.63E+00	7.73E-03
1.65E+00	6.95E-03
1.67E+00	7.07E-03
1.69E+00	6.34E-03
1.71E+00	6.20E-03
1.73E+00	5.64E-03
1.75E+00	5.08E-03
1.77E+00	5.29E-03
1.79E+00	4.76E-03
1.81E+00	4.63E-03
1.83E+00	4.86E-03
1.85E+00	4.38E-03
1.87E+00	4.11E-03
1.89E+00	4.01E-03
1.91E+00	3.92E-03
1.93E+00	3.46E-03
1.95E+00	3.79E-03
1.97E+00	3.48E-03
1.99E+00	2.59E-03
2.01E+00	2.96E-03
2.03E+00	2.97E-03
2.05E+00	2.52E-03
2.07E+00	2.51E-03
2.09E+00	2.50E-03
2.11E+00	2.30E-03
2.13E+00	2.75E-03
2.15E+00	1.92E-03
2.17E+00	2.21E-03
2.19E+00	2.08E-03
2.21E+00	2.09E-03
2.23E+00	1.70E-03
2.25E+00	2.20E-03
2.27E+00	1.92E-03
2.29E+00	1.57E-03
2.31E+00	1.92E-03
2.33E+00	1.47E-03
2.35E+00	1.33E-03
2.37E+00	1.67E-03
2.39E+00	1.70E-03
2.41E+00	1.23E-03
2.43E+00	1.25E-03
2.45E+00	1.47E-03
2.47E+00	1.23E-03
2.49E+00	1.21E-03
2.51E+00	1.21E-03
2.53E+00	1.00E-03
2.55E+00	9.51E-04
2.57E+00	1.01E-03
2.59E+00	1.07E-03
2.62E+00	1.20E-03
2.64E+00	9.22E-04
2.66E+00	9.94E-04
2.68E+00	1.13E-03
2.70E+00	1.07E-03
2.72E+00	6.27E-04
2.74E+00	7.35E-04
2.76E+00	7.56E-04
2.78E+00	7.62E-04
